"","week","(H=1,V=0)","(H=1,V=1)"
"1",2020-04-26,94829,0
"2",2020-05-03,94829,0
"3",2020-05-10,94829,0
"4",2020-05-17,94829,0
"5",2020-05-24,94829,0
"6",2020-05-31,94829,0
"7",2020-06-07,94829,0
"8",2020-06-14,94829,0
"9",2020-06-21,94829,0
"10",2020-06-28,94829,0
"11",2020-07-05,94829,0
"12",2020-07-12,94829,0
"13",2020-07-19,94829,0
"14",2020-07-26,94829,0
"15",2020-08-02,94829,0
"16",2020-08-09,94829,0
"17",2020-08-16,94829,0
"18",2020-08-23,94829,0
"19",2020-08-30,94829,0
"20",2020-09-06,94829,0
"21",2020-09-13,94829,0
"22",2020-09-20,94829,0
"23",2020-09-27,94829,0
"24",2020-10-04,94829,0
"25",2020-10-11,94829,0
"26",2020-10-18,94829,0
"27",2020-10-25,94829,0
"28",2020-11-01,94829,0
"29",2020-11-08,94829,0
"30",2020-11-15,94829,0
"31",2020-11-22,94829,0
"32",2020-11-29,94829,0
"33",2020-12-06,94829,0
"34",2020-12-13,94659,170
"35",2020-12-20,93032,1797
"36",2020-12-27,92315,2514
"37",2021-01-03,91532,3297
"38",2021-01-10,89113,5716
"39",2021-01-17,84810,10019
"40",2021-01-24,77810,17019
"41",2021-01-31,70560,24269
"42",2021-02-07,62571,32258
"43",2021-02-14,55369,39460
"44",2021-02-21,50130,44699
"45",2021-02-28,45312,49517
"46",2021-03-07,41640,53189
"47",2021-03-14,38017,56812
"48",2021-03-21,32512,62317
"49",2021-03-28,29549,65280
"50",2021-04-04,28420,66409
"51",2021-04-11,27860,66969
"52",2021-04-18,26867,67962
"53",2021-04-25,25825,69004
"54",2021-05-02,24771,70058
"55",2021-05-09,23800,71029
"56",2021-05-16,22488,72341
"57",2021-05-23,20988,73841
"58",2021-05-30,19549,75280
"59",2021-06-06,18538,76291
"60",2021-06-13,17561,77268
"61",2021-06-20,16714,78115
"62",2021-06-27,16217,78612
"63",2021-07-04,15957,78872
"64",2021-07-11,15798,79031
"65",2021-07-18,15684,79145
"66",2021-07-25,15612,79217
"67",2021-08-01,15549,79280
"68",2021-08-08,15495,79334
"69",2021-08-15,15447,79382
"70",2021-08-22,15410,79419
"71",2021-08-29,15384,79445
"72",2021-09-05,15352,79477
"73",2021-09-12,15317,79512
"74",2021-09-19,15294,79535
"75",2021-09-26,15275,79554
"76",2021-10-03,15253,79576
"77",2021-10-10,15225,79604
"78",2021-10-17,15204,79625
"79",2021-10-24,15185,79644
"80",2021-10-31,15169,79660
"81",2021-11-07,15149,79680
"82",2021-11-14,15130,79699
"83",2021-11-21,15113,79716
"84",2021-11-28,15087,79742
"85",2021-12-05,15058,79771
"86",2021-12-12,15036,79793
"87",2021-12-19,15006,79823
"88",2021-12-26,14984,79845
"89",2022-01-02,14970,79859
"90",2022-01-09,14954,79875
"91",2022-01-16,14938,79891
"92",2022-01-23,14925,79904
"93",2022-01-30,14915,79914
"94",2022-02-06,14909,79920
"95",2022-02-13,14907,79922
"96",2022-02-20,14905,79924
"97",2022-02-27,14901,79928
"98",2022-03-06,14900,79929
"99",2022-03-13,14896,79933
"100",2022-03-20,14893,79936
"101",2022-03-27,14891,79938
"102",2022-04-03,14890,79939
"103",2022-04-10,14887,79942
"104",2022-04-17,14885,79944
"105",2022-04-24,14885,79944
"106",2022-05-01,14882,79947
"107",2022-05-08,14881,79948
"108",2022-05-15,14879,79950
"109",2022-05-22,14879,79950
"110",2022-05-29,14877,79952
"111",2022-06-05,14876,79953
"112",2022-06-12,14874,79955
"113",2022-06-19,14874,79955
"114",2022-06-26,14874,79955
"115",2022-07-03,14874,79955
"116",2022-07-10,14874,79955
"117",2022-07-17,14874,79955
"118",2022-07-24,14872,79957
"119",2022-07-31,14872,79957
"120",2022-08-07,14872,79957
"121",2022-08-14,14872,79957
"122",2022-08-21,14872,79957
"123",2022-08-28,14872,79957
"124",2022-09-04,14872,79957
"125",2022-09-11,14872,79957
"126",2022-09-18,14871,79958
"127",2022-09-25,14869,79960
"128",2022-10-02,14869,79960
"129",2022-10-09,14868,79961
"130",2022-10-16,14866,79963
"131",2022-10-23,14866,79963
"132",2022-10-30,14864,79965
"133",2022-11-06,14863,79966
"134",2022-11-13,14863,79966
"135",2022-11-20,14863,79966
"136",2022-11-27,14861,79968
"137",2022-12-04,14859,79970
"138",2022-12-11,14859,79970
"139",2022-12-18,14859,79970
"140",2022-12-25,14859,79970
"141",2023-01-01,14859,79970
"142",2023-01-08,14859,79970
"143",2023-01-15,14859,79970
"144",2023-01-22,14859,79970
"145",2023-01-29,14859,79970
"146",2023-02-05,14858,79971
"147",2023-02-12,14858,79971
"148",2023-02-19,14858,79971
"149",2023-02-26,14858,79971
"150",2023-03-05,14858,79971
"151",2023-03-12,14858,79971
