"","week","(H=2,V=0)","(H=2,V=1)","(H=2,V=2)"
"1",2020-04-26,115056,0,0
"2",2020-05-03,115056,0,0
"3",2020-05-10,115056,0,0
"4",2020-05-17,115056,0,0
"5",2020-05-24,115056,0,0
"6",2020-05-31,115056,0,0
"7",2020-06-07,115056,0,0
"8",2020-06-14,115056,0,0
"9",2020-06-21,115056,0,0
"10",2020-06-28,115056,0,0
"11",2020-07-05,115056,0,0
"12",2020-07-12,115056,0,0
"13",2020-07-19,115056,0,0
"14",2020-07-26,115056,0,0
"15",2020-08-02,115056,0,0
"16",2020-08-09,115056,0,0
"17",2020-08-16,115056,0,0
"18",2020-08-23,115056,0,0
"19",2020-08-30,115056,0,0
"20",2020-09-06,115056,0,0
"21",2020-09-13,115056,0,0
"22",2020-09-20,115056,0,0
"23",2020-09-27,115056,0,0
"24",2020-10-04,115056,0,0
"25",2020-10-11,115056,0,0
"26",2020-10-18,115056,0,0
"27",2020-10-25,115056,0,0
"28",2020-11-01,115056,0,0
"29",2020-11-08,115056,0,0
"30",2020-11-15,115056,0,0
"31",2020-11-22,115056,0,0
"32",2020-11-29,115056,0,0
"33",2020-12-06,115056,0,0
"34",2020-12-13,114753,259,44
"35",2020-12-20,112738,1668,650
"36",2020-12-27,111717,2423,916
"37",2021-01-03,110550,3268,1238
"38",2021-01-10,107120,5626,2310
"39",2021-01-17,101399,9302,4355
"40",2021-01-24,92019,13942,9095
"41",2021-01-31,81465,18112,15479
"42",2021-02-07,69906,21303,23847
"43",2021-02-14,60041,22242,32773
"44",2021-02-21,52783,22970,39303
"45",2021-02-28,46785,23154,45117
"46",2021-03-07,42438,22314,50304
"47",2021-03-14,38701,21062,55293
"48",2021-03-21,32973,18729,63354
"49",2021-03-28,30128,17403,67525
"50",2021-04-04,29130,16903,69023
"51",2021-04-11,28609,16745,69702
"52",2021-04-18,27556,16487,71013
"53",2021-04-25,26479,16236,72341
"54",2021-05-02,25398,15901,73757
"55",2021-05-09,24332,15636,75088
"56",2021-05-16,22557,15186,77313
"57",2021-05-23,20541,14373,80142
"58",2021-05-30,18585,13265,83206
"59",2021-06-06,17161,12455,85440
"60",2021-06-13,15858,11307,87891
"61",2021-06-20,14816,10054,90186
"62",2021-06-27,14280,9018,91758
"63",2021-07-04,14066,8400,92590
"64",2021-07-11,13952,8073,93031
"65",2021-07-18,13870,7854,93332
"66",2021-07-25,13812,7684,93560
"67",2021-08-01,13773,7548,93735
"68",2021-08-08,13735,7405,93916
"69",2021-08-15,13706,7232,94118
"70",2021-08-22,13677,6978,94401
"71",2021-08-29,13659,6750,94647
"72",2021-09-05,13648,6629,94779
"73",2021-09-12,13627,6559,94870
"74",2021-09-19,13606,6517,94933
"75",2021-09-26,13588,6468,95000
"76",2021-10-03,13579,6367,95110
"77",2021-10-10,13569,6260,95227
"78",2021-10-17,13547,6109,95400
"79",2021-10-24,13530,5949,95577
"80",2021-10-31,13516,5794,95746
"81",2021-11-07,13508,5636,95912
"82",2021-11-14,13492,5521,96043
"83",2021-11-21,13482,5450,96124
"84",2021-11-28,13470,5381,96205
"85",2021-12-05,13461,5315,96280
"86",2021-12-12,13441,5260,96355
"87",2021-12-19,13414,5184,96458
"88",2021-12-26,13398,5140,96518
"89",2022-01-02,13380,5096,96580
"90",2022-01-09,13361,5048,96647
"91",2022-01-16,13349,5009,96698
"92",2022-01-23,13341,4976,96739
"93",2022-01-30,13334,4940,96782
"94",2022-02-06,13330,4916,96810
"95",2022-02-13,13329,4892,96835
"96",2022-02-20,13328,4879,96849
"97",2022-02-27,13325,4864,96867
"98",2022-03-06,13323,4846,96887
"99",2022-03-13,13320,4837,96899
"100",2022-03-20,13318,4829,96909
"101",2022-03-27,13315,4818,96923
"102",2022-04-03,13314,4806,96936
"103",2022-04-10,13311,4780,96965
"104",2022-04-17,13311,4748,96997
"105",2022-04-24,13310,4705,97041
"106",2022-05-01,13310,4676,97070
"107",2022-05-08,13310,4658,97088
"108",2022-05-15,13309,4637,97110
"109",2022-05-22,13309,4619,97128
"110",2022-05-29,13308,4608,97140
"111",2022-06-05,13308,4599,97149
"112",2022-06-12,13307,4589,97160
"113",2022-06-19,13307,4584,97165
"114",2022-06-26,13307,4579,97170
"115",2022-07-03,13306,4573,97177
"116",2022-07-10,13306,4570,97180
"117",2022-07-17,13304,4567,97185
"118",2022-07-24,13303,4562,97191
"119",2022-07-31,13303,4559,97194
"120",2022-08-07,13301,4554,97201
"121",2022-08-14,13301,4553,97202
"122",2022-08-21,13301,4547,97208
"123",2022-08-28,13301,4542,97213
"124",2022-09-04,13301,4540,97215
"125",2022-09-11,13301,4540,97215
"126",2022-09-18,13301,4536,97219
"127",2022-09-25,13301,4535,97220
"128",2022-10-02,13299,4534,97223
"129",2022-10-09,13296,4531,97229
"130",2022-10-16,13296,4530,97230
"131",2022-10-23,13293,4530,97233
"132",2022-10-30,13292,4529,97235
"133",2022-11-06,13292,4526,97238
"134",2022-11-13,13292,4526,97238
"135",2022-11-20,13292,4525,97239
"136",2022-11-27,13291,4525,97240
"137",2022-12-04,13291,4524,97241
"138",2022-12-11,13290,4524,97242
"139",2022-12-18,13290,4522,97244
"140",2022-12-25,13290,4522,97244
"141",2023-01-01,13290,4521,97245
"142",2023-01-08,13290,4519,97247
"143",2023-01-15,13290,4518,97248
"144",2023-01-22,13290,4515,97251
"145",2023-01-29,13290,4513,97253
"146",2023-02-05,13290,4510,97256
"147",2023-02-12,13290,4510,97256
"148",2023-02-19,13290,4510,97256
"149",2023-02-26,13290,4510,97256
"150",2023-03-05,13290,4510,97256
"151",2023-03-12,13290,4510,97256
