"","week","(H=3,V=0)","(H=3,V=1)","(H=3,V=2)","(H=3,V=3)"
"1",2020-04-26,28132,0,0,0
"2",2020-05-03,28132,0,0,0
"3",2020-05-10,28132,0,0,0
"4",2020-05-17,28132,0,0,0
"5",2020-05-24,28132,0,0,0
"6",2020-05-31,28132,0,0,0
"7",2020-06-07,28132,0,0,0
"8",2020-06-14,28132,0,0,0
"9",2020-06-21,28132,0,0,0
"10",2020-06-28,28132,0,0,0
"11",2020-07-05,28132,0,0,0
"12",2020-07-12,28132,0,0,0
"13",2020-07-19,28132,0,0,0
"14",2020-07-26,28132,0,0,0
"15",2020-08-02,28132,0,0,0
"16",2020-08-09,28132,0,0,0
"17",2020-08-16,28132,0,0,0
"18",2020-08-23,28132,0,0,0
"19",2020-08-30,28132,0,0,0
"20",2020-09-06,28132,0,0,0
"21",2020-09-13,28132,0,0,0
"22",2020-09-20,28132,0,0,0
"23",2020-09-27,28132,0,0,0
"24",2020-10-04,28132,0,0,0
"25",2020-10-11,28132,0,0,0
"26",2020-10-18,28132,0,0,0
"27",2020-10-25,28132,0,0,0
"28",2020-11-01,28132,0,0,0
"29",2020-11-08,28132,0,0,0
"30",2020-11-15,28132,0,0,0
"31",2020-11-22,28132,0,0,0
"32",2020-11-29,28132,0,0,0
"33",2020-12-06,28132,0,0,0
"34",2020-12-13,28051,79,10,0
"35",2020-12-20,27704,380,45,10
"36",2020-12-27,27480,579,70,10
"37",2021-01-03,27183,830,114,10
"38",2021-01-10,26387,1515,217,13
"39",2021-01-17,25125,2516,443,48
"40",2021-01-24,23650,3548,835,99
"41",2021-01-31,22046,4570,1331,185
"42",2021-02-07,20491,5388,1950,303
"43",2021-02-14,18897,6047,2713,475
"44",2021-02-21,17039,6825,3504,764
"45",2021-02-28,15036,7559,4389,1148
"46",2021-03-07,13558,7827,5247,1500
"47",2021-03-14,12102,7855,6288,1887
"48",2021-03-21,9552,7237,8719,2624
"49",2021-03-28,8144,6753,10133,3102
"50",2021-04-04,7688,6563,10541,3340
"51",2021-04-11,7470,6432,10775,3455
"52",2021-04-18,6937,6223,11368,3604
"53",2021-04-25,6402,6007,11966,3757
"54",2021-05-02,5890,5804,12506,3932
"55",2021-05-09,5440,5568,13018,4106
"56",2021-05-16,4844,5278,13556,4454
"57",2021-05-23,4332,4917,14004,4879
"58",2021-05-30,3935,4545,14263,5389
"59",2021-06-06,3722,4322,14245,5843
"60",2021-06-13,3537,4031,13919,6645
"61",2021-06-20,3357,3705,13123,7947
"62",2021-06-27,3262,3368,12298,9204
"63",2021-07-04,3213,3188,11805,9926
"64",2021-07-11,3175,3098,11529,10330
"65",2021-07-18,3148,3044,11421,10519
"66",2021-07-25,3133,2997,11356,10646
"67",2021-08-01,3125,2953,11264,10790
"68",2021-08-08,3119,2909,11195,10909
"69",2021-08-15,3109,2833,10974,11216
"70",2021-08-22,3095,2694,10581,11762
"71",2021-08-29,3084,2568,10302,12178
"72",2021-09-05,3076,2502,10133,12421
"73",2021-09-12,3064,2482,10080,12506
"74",2021-09-19,3059,2467,10025,12581
"75",2021-09-26,3050,2442,9948,12692
"76",2021-10-03,3043,2363,9812,12914
"77",2021-10-10,3038,2282,9533,13279
"78",2021-10-17,3035,2185,9258,13654
"79",2021-10-24,3029,2087,8948,14068
"80",2021-10-31,3027,2016,8633,14456
"81",2021-11-07,3023,1923,8388,14798
"82",2021-11-14,3019,1858,8156,15099
"83",2021-11-21,3015,1810,8032,15275
"84",2021-11-28,3013,1770,7978,15371
"85",2021-12-05,3006,1743,7923,15460
"86",2021-12-12,2999,1725,7854,15554
"87",2021-12-19,2992,1705,7768,15667
"88",2021-12-26,2990,1673,7733,15736
"89",2022-01-02,2985,1658,7655,15834
"90",2022-01-09,2980,1633,7588,15931
"91",2022-01-16,2978,1617,7547,15990
"92",2022-01-23,2973,1600,7490,16069
"93",2022-01-30,2971,1584,7463,16114
"94",2022-02-06,2971,1568,7425,16168
"95",2022-02-13,2969,1548,7402,16213
"96",2022-02-20,2969,1536,7371,16256
"97",2022-02-27,2969,1531,7348,16284
"98",2022-03-06,2968,1525,7330,16309
"99",2022-03-13,2967,1518,7312,16335
"100",2022-03-20,2967,1511,7287,16367
"101",2022-03-27,2966,1501,7268,16397
"102",2022-04-03,2965,1495,7238,16434
"103",2022-04-10,2965,1486,7102,16579
"104",2022-04-17,2964,1467,6964,16737
"105",2022-04-24,2961,1441,6819,16911
"106",2022-05-01,2961,1428,6692,17051
"107",2022-05-08,2961,1415,6601,17155
"108",2022-05-15,2961,1402,6520,17249
"109",2022-05-22,2961,1396,6459,17316
"110",2022-05-29,2961,1393,6419,17359
"111",2022-06-05,2961,1389,6379,17403
"112",2022-06-12,2961,1388,6339,17444
"113",2022-06-19,2961,1382,6304,17485
"114",2022-06-26,2961,1380,6257,17534
"115",2022-07-03,2961,1377,6223,17571
"116",2022-07-10,2961,1373,6192,17606
"117",2022-07-17,2960,1370,6164,17638
"118",2022-07-24,2960,1367,6143,17662
"119",2022-07-31,2960,1362,6123,17687
"120",2022-08-07,2960,1360,6106,17706
"121",2022-08-14,2960,1357,6090,17725
"122",2022-08-21,2960,1355,6075,17742
"123",2022-08-28,2960,1353,6062,17757
"124",2022-09-04,2960,1353,6044,17775
"125",2022-09-11,2960,1352,6041,17779
"126",2022-09-18,2960,1350,6037,17785
"127",2022-09-25,2960,1349,6027,17796
"128",2022-10-02,2959,1350,6016,17807
"129",2022-10-09,2959,1349,6005,17819
"130",2022-10-16,2959,1346,6002,17825
"131",2022-10-23,2957,1348,5993,17834
"132",2022-10-30,2957,1348,5980,17847
"133",2022-11-06,2957,1348,5971,17856
"134",2022-11-13,2957,1348,5968,17859
"135",2022-11-20,2957,1348,5962,17865
"136",2022-11-27,2957,1347,5960,17868
"137",2022-12-04,2957,1347,5956,17872
"138",2022-12-11,2957,1347,5953,17875
"139",2022-12-18,2957,1347,5953,17875
"140",2022-12-25,2957,1347,5953,17875
"141",2023-01-01,2957,1347,5950,17878
"142",2023-01-08,2957,1346,5951,17878
"143",2023-01-15,2957,1345,5951,17879
"144",2023-01-22,2957,1345,5951,17879
"145",2023-01-29,2957,1343,5949,17883
"146",2023-02-05,2957,1343,5947,17885
"147",2023-02-12,2957,1343,5946,17886
"148",2023-02-19,2957,1343,5946,17886
"149",2023-02-26,2957,1343,5946,17886
"150",2023-03-05,2957,1343,5946,17886
"151",2023-03-12,2957,1343,5946,17886
