"","week","(H=4,V=0)","(H=4,V=1)","(H=4,V=2)","(H=4,V=3)","(H=4,V=4)"
"1",2020-04-26,21897,0,0,0,0
"2",2020-05-03,21897,0,0,0,0
"3",2020-05-10,21897,0,0,0,0
"4",2020-05-17,21897,0,0,0,0
"5",2020-05-24,21897,0,0,0,0
"6",2020-05-31,21897,0,0,0,0
"7",2020-06-07,21897,0,0,0,0
"8",2020-06-14,21897,0,0,0,0
"9",2020-06-21,21897,0,0,0,0
"10",2020-06-28,21897,0,0,0,0
"11",2020-07-05,21897,0,0,0,0
"12",2020-07-12,21897,0,0,0,0
"13",2020-07-19,21897,0,0,0,0
"14",2020-07-26,21897,0,0,0,0
"15",2020-08-02,21897,0,0,0,0
"16",2020-08-09,21897,0,0,0,0
"17",2020-08-16,21897,0,0,0,0
"18",2020-08-23,21897,0,0,0,0
"19",2020-08-30,21897,0,0,0,0
"20",2020-09-06,21897,0,0,0,0
"21",2020-09-13,21897,0,0,0,0
"22",2020-09-20,21897,0,0,0,0
"23",2020-09-27,21897,0,0,0,0
"24",2020-10-04,21897,0,0,0,0
"25",2020-10-11,21897,0,0,0,0
"26",2020-10-18,21897,0,0,0,0
"27",2020-10-25,21897,0,0,0,0
"28",2020-11-01,21897,0,0,0,0
"29",2020-11-08,21897,0,0,0,0
"30",2020-11-15,21897,0,0,0,0
"31",2020-11-22,21897,0,0,0,0
"32",2020-11-29,21897,0,0,0,0
"33",2020-12-06,21897,0,0,0,0
"34",2020-12-13,21812,78,10,0,0
"35",2020-12-20,21551,305,38,10,0
"36",2020-12-27,21367,470,55,10,10
"37",2021-01-03,21096,696,98,10,10
"38",2021-01-10,20448,1234,201,10,10
"39",2021-01-17,19540,1972,356,23,10
"40",2021-01-24,18561,2707,561,58,10
"41",2021-01-31,17618,3368,801,87,23
"42",2021-02-07,16743,3954,1037,132,31
"43",2021-02-14,15803,4471,1379,196,48
"44",2021-02-21,14563,5087,1866,304,77
"45",2021-02-28,13039,5786,2489,451,132
"46",2021-03-07,11935,6197,3027,556,182
"47",2021-03-14,10906,6356,3691,718,226
"48",2021-03-21,8699,6179,5609,1096,314
"49",2021-03-28,7360,5738,7043,1343,413
"50",2021-04-04,6845,5499,7636,1452,465
"51",2021-04-11,6578,5356,7970,1494,499
"52",2021-04-18,5895,4932,8975,1569,526
"53",2021-04-25,5212,4470,10010,1649,556
"54",2021-05-02,4554,3940,11092,1716,595
"55",2021-05-09,3950,3362,12191,1763,631
"56",2021-05-16,3373,2822,13118,1865,719
"57",2021-05-23,2909,2194,13988,1961,845
"58",2021-05-30,2678,1811,14351,2101,956
"59",2021-06-06,2564,1625,14386,2204,1118
"60",2021-06-13,2467,1453,14236,2396,1345
"61",2021-06-20,2388,1290,13699,2721,1799
"62",2021-06-27,2331,1190,12966,3055,2355
"63",2021-07-04,2308,1110,12624,3164,2691
"64",2021-07-11,2289,1053,12440,3245,2870
"65",2021-07-18,2280,1012,12358,3277,2970
"66",2021-07-25,2270,989,12288,3321,3029
"67",2021-08-01,2259,977,12239,3320,3102
"68",2021-08-08,2254,956,12150,3352,3185
"69",2021-08-15,2248,935,11911,3429,3374
"70",2021-08-22,2240,884,11396,3643,3734
"71",2021-08-29,2233,856,10922,3857,4029
"72",2021-09-05,2230,831,10637,3971,4228
"73",2021-09-12,2226,814,10548,4000,4309
"74",2021-09-19,2222,802,10496,4005,4372
"75",2021-09-26,2219,795,10357,4068,4458
"76",2021-10-03,2213,766,10077,4110,4731
"77",2021-10-10,2210,749,9622,4173,5143
"78",2021-10-17,2209,706,9110,4251,5621
"79",2021-10-24,2208,684,8656,4264,6085
"80",2021-10-31,2205,659,8250,4171,6612
"81",2021-11-07,2205,630,7765,4237,7060
"82",2021-11-14,2197,617,7426,4263,7394
"83",2021-11-21,2194,600,7215,4273,7615
"84",2021-11-28,2190,590,7082,4279,7756
"85",2021-12-05,2187,579,6977,4269,7885
"86",2021-12-12,2183,572,6903,4254,7985
"87",2021-12-19,2173,567,6796,4223,8138
"88",2021-12-26,2172,563,6719,4207,8236
"89",2022-01-02,2170,559,6632,4211,8325
"90",2022-01-09,2165,549,6518,4195,8470
"91",2022-01-16,2160,547,6442,4180,8568
"92",2022-01-23,2157,538,6377,4176,8649
"93",2022-01-30,2155,535,6306,4179,8722
"94",2022-02-06,2151,532,6249,4180,8785
"95",2022-02-13,2148,529,6190,4190,8840
"96",2022-02-20,2147,529,6135,4192,8894
"97",2022-02-27,2147,524,6086,4205,8935
"98",2022-03-06,2146,521,6060,4205,8965
"99",2022-03-13,2145,519,6032,4206,8995
"100",2022-03-20,2145,516,6010,4193,9033
"101",2022-03-27,2145,514,5984,4189,9065
"102",2022-04-03,2145,510,5949,4183,9110
"103",2022-04-10,2145,501,5821,4088,9342
"104",2022-04-17,2143,500,5692,3916,9646
"105",2022-04-24,2142,500,5530,3792,9933
"106",2022-05-01,2142,495,5387,3720,10153
"107",2022-05-08,2142,494,5288,3635,10338
"108",2022-05-15,2141,493,5211,3574,10478
"109",2022-05-22,2141,492,5154,3519,10591
"110",2022-05-29,2141,490,5096,3494,10676
"111",2022-06-05,2140,490,5071,3445,10751
"112",2022-06-12,2140,490,5036,3397,10834
"113",2022-06-19,2140,488,5003,3367,10899
"114",2022-06-26,2140,488,4966,3342,10961
"115",2022-07-03,2140,484,4943,3309,11021
"116",2022-07-10,2140,484,4914,3275,11084
"117",2022-07-17,2140,484,4881,3245,11147
