"","week","(H=6,V=0)","(H=6,V=1)","(H=6,V=2)","(H=6,V=3)","(H=6,V=4)","(H=6,V=5)","(H=6,V=6)"
"1",2020-04-26,1308,0,0,0,0,0,0
"2",2020-05-03,1308,0,0,0,0,0,0
"3",2020-05-10,1308,0,0,0,0,0,0
"4",2020-05-17,1308,0,0,0,0,0,0
"5",2020-05-24,1308,0,0,0,0,0,0
"6",2020-05-31,1308,0,0,0,0,0,0
"7",2020-06-07,1308,0,0,0,0,0,0
"8",2020-06-14,1308,0,0,0,0,0,0
"9",2020-06-21,1308,0,0,0,0,0,0
"10",2020-06-28,1308,0,0,0,0,0,0
"11",2020-07-05,1308,0,0,0,0,0,0
"12",2020-07-12,1308,0,0,0,0,0,0
"13",2020-07-19,1308,0,0,0,0,0,0
"14",2020-07-26,1308,0,0,0,0,0,0
"15",2020-08-02,1308,0,0,0,0,0,0
"16",2020-08-09,1308,0,0,0,0,0,0
"17",2020-08-16,1308,0,0,0,0,0,0
"18",2020-08-23,1308,0,0,0,0,0,0
"19",2020-08-30,1308,0,0,0,0,0,0
"20",2020-09-06,1308,0,0,0,0,0,0
"21",2020-09-13,1308,0,0,0,0,0,0
"22",2020-09-20,1308,0,0,0,0,0,0
"23",2020-09-27,1308,0,0,0,0,0,0
"24",2020-10-04,1308,0,0,0,0,0,0
"25",2020-10-11,1308,0,0,0,0,0,0
"26",2020-10-18,1308,0,0,0,0,0,0
"27",2020-10-25,1308,0,0,0,0,0,0
"28",2020-11-01,1308,0,0,0,0,0,0
"29",2020-11-08,1308,0,0,0,0,0,0
"30",2020-11-15,1308,0,0,0,0,0,0
"31",2020-11-22,1308,0,0,0,0,0,0
"32",2020-11-29,1308,0,0,0,0,0,0
"33",2020-12-06,1308,0,0,0,0,0,0
"34",2020-12-13,1305,10,0,0,0,0,0
"35",2020-12-20,1290,18,0,0,0,0,0
"36",2020-12-27,1273,30,10,0,0,0,0
"37",2021-01-03,1253,47,10,0,10,0,0
"38",2021-01-10,1209,82,15,10,10,0,0
"39",2021-01-17,1148,124,28,10,10,10,0
"40",2021-01-24,1069,169,48,15,10,10,10
"41",2021-01-31,980,216,81,18,10,10,10
"42",2021-02-07,911,239,116,23,13,10,10
"43",2021-02-14,854,252,144,36,14,10,10
"44",2021-02-21,778,276,172,50,22,10,10
"45",2021-02-28,684,305,210,63,32,10,10
"46",2021-03-07,621,330,228,73,38,14,10
"47",2021-03-14,561,342,252,84,50,13,10
"48",2021-03-21,481,310,313,116,60,20,10
"49",2021-03-28,422,281,351,144,76,25,10
"50",2021-04-04,394,277,363,157,79,28,10
"51",2021-04-11,379,273,378,157,83,28,10
"52",2021-04-18,355,263,396,164,89,31,10
"53",2021-04-25,337,239,422,173,96,31,10
"54",2021-05-02,311,212,458,180,105,32,10
"55",2021-05-09,282,185,504,182,111,32,12
"56",2021-05-16,254,159,532,191,124,35,13
"57",2021-05-23,227,135,558,195,138,42,13
"58",2021-05-30,214,114,569,202,151,44,14
"59",2021-06-06,207,110,562,209,153,51,16
"60",2021-06-13,201,101,546,206,168,66,20
"61",2021-06-20,181,92,521,206,192,81,35
"62",2021-06-27,170,77,471,227,207,104,52
"63",2021-07-04,167,71,446,224,219,115,66
"64",2021-07-11,164,67,439,222,208,135,73
"65",2021-07-18,161,69,428,223,212,132,83
"66",2021-07-25,160,64,426,227,203,143,85
"67",2021-08-01,160,64,422,221,209,136,96
"68",2021-08-08,159,64,418,221,211,133,102
"69",2021-08-15,159,60,407,221,219,136,106
"70",2021-08-22,159,57,384,212,230,146,120
"71",2021-08-29,157,55,360,220,235,153,128
"72",2021-09-05,154,54,346,220,236,163,135
"73",2021-09-12,150,56,341,226,232,165,138
"74",2021-09-19,150,53,341,222,233,171,138
"75",2021-09-26,149,52,340,219,232,174,142
"76",2021-10-03,149,50,328,217,241,178,145
"77",2021-10-10,148,48,311,216,244,185,156
"78",2021-10-17,147,48,294,204,243,202,170
"79",2021-10-24,146,49,270,205,243,208,187
"80",2021-10-31,145,49,250,208,239,203,214
"81",2021-11-07,145,47,236,202,231,217,230
"82",2021-11-14,145,44,224,193,234,226,242
"83",2021-11-21,144,45,213,190,242,221,253
"84",2021-11-28,144,44,210,186,242,222,260
"85",2021-12-05,144,44,204,180,247,224,265
"86",2021-12-12,144,43,201,175,251,221,273
"87",2021-12-19,144,43,194,171,256,222,278
"88",2021-12-26,144,43,188,168,258,225,282
"89",2022-01-02,144,42,183,165,259,229,286
"90",2022-01-09,144,41,174,166,262,231,290
"91",2022-01-16,144,41,170,160,265,234,294
"92",2022-01-23,144,41,167,155,267,235,299
"93",2022-01-30,143,41,165,152,271,233,303
"94",2022-02-06,143,41,162,152,269,238,303
"95",2022-02-13,143,41,159,151,269,242,303
"96",2022-02-20,143,41,157,153,266,243,305
"97",2022-02-27,143,41,157,151,266,244,306
"98",2022-03-06,143,40,156,148,270,245,306
"99",2022-03-13,143,38,157,149,267,246,308
"100",2022-03-20,143,38,156,150,263,248,310
"101",2022-03-27,143,38,154,149,264,247,313
"102",2022-04-03,143,38,153,147,264,246,317
"103",2022-04-10,143,38,152,147,256,247,325
"104",2022-04-17,143,38,150,145,250,244,338
"105",2022-04-24,143,38,147,138,247,244,351
"106",2022-05-01,143,38,144,135,238,241,369
"107",2022-05-08,143,38,142,126,234,243,382
"108",2022-05-15,142,38,143,125,229,244,387
"109",2022-05-22,142,38,142,124,224,247,391
"110",2022-05-29,142,38,141,124,220,247,396
"111",2022-06-05,142,38,140,124,220,247,397
"112",2022-06-12,142,38,140,124,218,245,401
"113",2022-06-19,142,38,140,123,215,245,405
"114",2022-06-26,142,38,140,123,212,242,411
"115",2022-07-03,142,38,140,123,211,239,415
"116",2022-07-10,142,38,140,123,209,237,419
"117",2022-07-17,142,38,140,122,208,237,421
"118",2022-07-24,142,38,140,120,209,235,424
"119",2022-07-31,142,38,138,120,207,235,428
"120",2022-08-07,142,38,138,119,207,235,429
"121",2022-08-14,142,37,138,119,205,236,431
"122",2022-08-21,142,37,138,119,204,236,432
"123",2022-08-28,142,37,138,118,203,236,434
"124",2022-09-04,142,37,138,117,204,236,434
"125",2022-09-11,142,37,138,117,204,236,434
"126",2022-09-18,142,37,138,117,204,235,435
"127",2022-09-25,142,37,138,117,204,235,435
"128",2022-10-02,142,37,138,117,203,236,435
"129",2022-10-09,142,37,138,117,203,236,435
